symptom,disease,medicine,remedies
fever,Fever is usually caused by infections like viral flu or malaria.,"Paracetamol (Dolo-650, Crocin), hydration, and rest.","Drink plenty of fluids, rest, apply a cool damp cloth on forehead."
cough,"Cough may be due to cold, flu, asthma, or lung infections.","Cough syrup (Benadryl, Ascoril), steam inhalation.","Drink warm fluids, honey with ginger, do steam inhalation."
cold,Common cold is a viral infection affecting the nose and throat.,"Rest, steam inhalation, antihistamines (Cetzine).","Gargle with warm salt water, drink ginger tea, stay hydrated."
headache,"Headache may be caused by stress, migraine, or dehydration.","Paracetamol, Ibuprofen, hydration, relaxation.","Stay in a quiet dark room, drink water, try gentle massage."
vomiting,"Vomiting may be caused by food poisoning, stomach infection, or migraine.","ORS solution, antiemetics (Ondansetron), hydration.","Sip ginger tea, eat small bland meals, avoid oily food."
flu,"Flu (influenza) is a viral infection causing fever, cough, body pain.","Rest, hydration, paracetamol, antiviral (Oseltamivir) if severe.","Drink warm fluids, inhale steam, rest well."
stomachache,"Stomach ache may be due to gastritis, indigestion, or ulcer.","Antacids, Omeprazole, light diet.","Eat bland food, avoid spicy food, drink ginger tea, apply warm compress."
heartattack,Heart attack is caused by blocked blood flow to the heart.,"Aspirin, Nitroglycerin, emergency hospital care.","Call emergency services immediately, chew aspirin if available."
migraine,Migraine is a severe headache often with nausea and sensitivity to light.,"Sumatriptan, Naproxen, avoid triggers.","Rest in a quiet dark room, apply cold compress, avoid bright lights."
diabetes,Diabetes is a condition where blood sugar levels are too high.,"Metformin, Insulin, diet control.","Exercise regularly, eat fiber-rich foods, avoid sugary drinks."
hypertension,High blood pressure increases the risk of heart disease.,"Amlodipine, Losartan, low-salt diet.","Reduce salt, exercise daily, practice meditation."
asthma,Asthma causes difficulty in breathing due to airway narrowing.,"Inhalers (Salbutamol), corticosteroids.","Avoid dust, do breathing exercises, stay calm during attacks."
malaria,Malaria is a mosquito-borne disease causing fever and chills.,"Artemisinin-based therapy, Chloroquine.","Use mosquito nets, drink plenty of fluids, rest well."
